Item,Description,Details,Class Description,Rotating,Status,Location,Vendor,UNITCOST,DUPLICATES,Macro,,Commodity Code,"0 = Good, 1 = Duplicate, 2 = Cost?, 3 = 1&2"
100733,"Fiber Patch Cord, LYNN, SCSCDUPSM-2M","Fiber Patch Cord, LYNN, SCSCDUPSM-2M",INVENTORY,N,ACTIVE,d,,,,,,,
100734,"Capacitor, TMEIC, 4FBG4523P001","Capacitor, TMEIC, 4FBG4523P001",INVENTORY,N,ACTIVE,o,,,,,,,
100735,"Fiber Connector, Enclosure, CORNING, WCH02P","Fiber Connector, Enclosure, CORNING, WCH02P",INVENTORY,N,ACTIVE,d,,,,,,,
100745,"Splice Kit, , 500-1250 kcmil, Cold Shrink","Splice Kit, , 500-1250 kcmil, Cold Shrink",INVENTORY,N,ACTIVE,o,,,,,,,
100746,"Breaker, ABB, A073687","Breaker, ABB, A073687",INVENTORY,N,ACTIVE,o,,,,,,,
100747,"Breaker, ABB, A073694","Breaker, ABB, A073694",INVENTORY,N,ACTIVE,o,,,,,,,
100749,"Fiber Jumper, , SUS202SCSCXXPX-50","Fiber Jumper, , SUS202SCSCXXPX-50",INVENTORY,N,ACTIVE,o,,,,,,,
100750,"Gel, TMB JO, K2693960","Gel, TMB JO, K2693960",INVENTORY,N,ACTIVE,o,,,,,,,
100751,"Sensor Board, TMEIC, 200-006875-002/A","Sensor Board, TMEIC, 200-006875-002/A",INVENTORY,N,ACTIVE,o,,,,,,,
100753,"IGBT, Mitsubishi, CM600C1Y-24T 207G","IGBT, Mitsubishi, CM600C1Y-24T 207G",INVENTORY,N,ACTIVE,o,,,,,,,
100754,"IGBT, Mitsubishi, CM400DY-34TA 207G","IGBT, Mitsubishi, CM400DY-34TA 207G",INVENTORY,N,ACTIVE,o,,,,,,,
100757,"Main Control Board, TMEIC, 4EAG1520G001","Main Control Board, TMEIC, 4EAG1520G001",INVENTORY,N,ACTIVE,o,,,,,,,
100758,"Gate Signal Board, Eaton, 4KAG0172G001","Gate Signal Board, Eaton, 4KAG0172G001",INVENTORY,N,ACTIVE,o,,,,,,,
100766,"Fan, TMEIC, SK3244.110","Fan, TMEIC, SK3244.110",INVENTORY,N,ACTIVE,o,,,,,,,
100776,"Capacitor, TMEIC, AFBP3047P001","Capacitor, TMEIC, AFBP3047P001",INVENTORY,N,ACTIVE,o,,,,,,,
100782,"Adapter, Eaton, CA635K","Adapter, Eaton, CA635K",INVENTORY,N,ACTIVE,o,,,,,,,
100783,"Recombiner Control Board, TMEIC, 271B1691RCBA","Recombiner Control Board, TMEIC, 271B1691RCBA",INVENTORY,N,ACTIVE,o,,,,,,,
100784,"Fiber Jumper, , SUS202SCSCXXPX-10","Fiber Jumper, , SUS202SCSCXXPX-10",INVENTORY,N,ACTIVE,d,,,,,,,
100786,"Capacitor, Shizuki, 4FBA3226P012","Capacitor, Shizuki, 4FBA3226P012",INVENTORY,N,ACTIVE,o,,,,,,,
100789,"Ground Kit, ELASTIMOLD, 776GADDRK","Ground Kit, ELASTIMOLD, 776GADDRK",INVENTORY,N,ACTIVE,o,,,,,,,
100791,"DC Switch, Telergon, S6R0400CBD00L","DC Switch, Telergon, S6R0400CBD00L",INVENTORY,N,ACTIVE,o,,,,,,,
100792,"Motor, NEXTRACKER, 60BYA95B34C-01","Motor, NEXTRACKER, 60BYA95B34C-01",INVENTORY,N,ACTIVE,o,,,,,,,
100794,"Heat Exchanger, TMEIC, 4FBG0978P002","Heat Exchanger, TMEIC, 4FBG0978P002",INVENTORY,N,ACTIVE,o,,,,,,,
100795,"Torque Tube, NEXTracker, 50841","Torque Tube, NEXTracker, 50841",INVENTORY,N,ACTIVE,o,,,,,,,
100797,"Zigbee Antenna, NEXTracker, XNTS-W2A3-1M-W-001","Zigbee Antenna, NEXTracker, XNTS-W2A3-1M-W-001",INVENTORY,N,ACTIVE,o,,,,,,,
100798,"SPC-WS, NEXTRACKER, SPC150A-WS","SPC-WS, NEXTRACKER, SPC150A-WS",INVENTORY,N,ACTIVE,o,,,,,,,
100799,"SPC, NEXTRACKER, ESCS","SPC, NEXTRACKER, ESCS",INVENTORY,N,ACTIVE,o,,,,,,,
100800,"Damper, Nextracker, 920187","Damper, Nextracker, 920187",INVENTORY,N,ACTIVE,o,,,,,,,
100802,"Combiner Box, ITS, ITE-14-S-400-1500-SS-WF-PT-FL","Combiner Box, ITS, ITE-14-S-400-1500-SS-WF-PT-FL",INVENTORY,N,ACTIVE,o,,,,,,,
100803,"Transformer, TMEIC, 3P","Transformer, TMEIC, 3P",INVENTORY,N,ACTIVE,o,,,,,,,
100804,"Breaker, ABB, AFBP0356P0031SDA078008R1","Breaker, ABB, AFBP0356P0031SDA078008R1",INVENTORY,N,ACTIVE,o,,,,,,,
100805,"Breaker, ABB, 1SDA079866R1","Breaker, ABB, 1SDA079866R1",INVENTORY,N,ACTIVE,o,,,,,,,
100806,"Clip, Bag, PV Module","Clip, Bag, PV Module",INVENTORY,N,ACTIVE,o,,,,,,,
100807,"Wire Hanger, Sunbundler, #S6409","Wire Hanger, Sunbundler, #S6409",INVENTORY,N,ACTIVE,o,,,,,,,
100809,"Sectionalizer Cabinet, , UB22320104","Sectionalizer Cabinet, , UB22320104",INVENTORY,N,ACTIVE,o,,,,,,,
100810,"Wire, Spool, Black","Wire, Spool, Black",INVENTORY,N,ACTIVE,o,,,,,,,
100811,"Wire, Spool, Red","Wire, Spool, Red",INVENTORY,N,ACTIVE,o,,,,,,,
100812,"Wire, Spool, POS/NEG Set","Wire, Spool, POS/NEG Set",INVENTORY,N,ACTIVE,o,,,,,,,
100813,"Tracker Controller Board, , XBIB-U-DEV","Tracker Controller Board, , XBIB-U-DEV",INVENTORY,N,ACTIVE,o,,,,,,,
100814,"Ethernet Patch Cord, , RJ45M/M","Ethernet Patch Cord, , RJ45M/M",INVENTORY,N,ACTIVE,o,,,,,,,
100816,"Fan, , K2E225-RA92-09","Fan, , K2E225-RA92-09",INVENTORY,N,ACTIVE,o,,,,,,,
100819,"Filter, Schaffner, FN2030Z-10-06","Filter, Schaffner, FN2030Z-10-06",INVENTORY,N,ACTIVE,o,,,,,,,
100820,"Power Supply, MeanWell, RSP-320-36","Power Supply, MeanWell, RSP-320-36",INVENTORY,N,ACTIVE,o,,,,,,,
100821,"GPS, Meritronics, MR-350P","GPS, Meritronics, MR-350P",INVENTORY,N,ACTIVE,o,,,,,,,
100825,"Snubber, , C03090022964","Snubber, , C03090022964",INVENTORY,N,ACTIVE,o,,,,,,,
100828,"FPGA Board, , E841FE","FPGA Board, , E841FE",INVENTORY,N,ACTIVE,o,,,,,,,
100830,"Hardware, First Solar, 80003164","Hardware, First Solar, 80003164",INVENTORY,N,ACTIVE,o,,,,,,,
100832,"Torque Tube, First Solar, P160056-004","Torque Tube, First Solar, P160056-004",INVENTORY,N,ACTIVE,o,,,,,,,
100833,"Surge Suppresion Board, Meritronics, 20-00525-01","Surge Suppresion Board, Meritronics, 20-00525-01",INVENTORY,N,ACTIVE,o,,,,,,,
100834,"PCBA Board, Meritronics, 52130DEF","PCBA Board, Meritronics, 52130DEF",INVENTORY,N,ACTIVE,o,,,,,,,
100835,"Node, Meritronics, 20-00048902","Node, Meritronics, 20-00048902",INVENTORY,N,ACTIVE,o,,,,,,,
100836,"DIO Assembly Board, Meritronics, 20-00595-01","DIO Assembly Board, Meritronics, 20-00595-01",INVENTORY,N,ACTIVE,o,,,,,,,
100837,"XBEE Gateway, PRO52C, 20-00455-01","XBEE Gateway, PRO52C, 20-00455-01",INVENTORY,N,ACTIVE,o,,,,,,,
100838,"Switch, CABLERACK, JBX18245","Switch, CABLERACK, JBX18245",INVENTORY,N,ACTIVE,o,,,,,,,
100839,"Media Converter, , A7S2-33-1GX1GT-SCX2/GT3","Media Converter, , A7S2-33-1GX1GT-SCX2/GT3",INVENTORY,N,ACTIVE,o,,,,,,,
100841,"Media Converter, Perle, S-100MM-S2SC20","Media Converter, Perle, S-100MM-S2SC20",INVENTORY,N,ACTIVE,o,,,,,,,
100842,"Disconnect Switch, ABB, OTDC400USV12","Disconnect Switch, ABB, OTDC400USV12",INVENTORY,N,ACTIVE,o,,,,,,,
100844,"Measuring Board, PE, E838CB","Measuring Board, PE, E838CB",INVENTORY,N,ACTIVE,o,,,,,,,
100845,"FPGA Board, P2G CONTROL PCB, E841ED","FPGA Board, P2G CONTROL PCB, E841ED",INVENTORY,N,ACTIVE,o,,,,,,,
100846,"FPGA Board, , E841EB","FPGA Board, , E841EB",INVENTORY,N,ACTIVE,o,,,,,,,
100849,"Control Board, PE, E839BA","Control Board, PE, E839BA",INVENTORY,N,ACTIVE,o,,,,,,,
100850,"Master Communications Board, PE, E602DA","Master Communications Board, PE, E602DA",INVENTORY,N,ACTIVE,o,,,,,,,
100852,"Graphite, PE, Graphite sheets","Graphite, PE, Graphite sheets",INVENTORY,N,ACTIVE,o,,,,,,,
100855,"Communication Board, SMA, NR-STT-KP-01","Communication Board, SMA, NR-STT-KP-01",INVENTORY,N,ACTIVE,o,,,,,,,
100856,"Fiber Patch Cord, , FSPDA22.03M/FSPDA1X12F.03Meters","Fiber Patch Cord, , FSPDA22.03M/FSPDA1X12F.03Meters",INVENTORY,N,ACTIVE,o,,,,,,,
100857,"Ground Kit, PANDUIT, ACG24k","Ground Kit, PANDUIT, ACG24k",INVENTORY,N,ACTIVE,o,,,,,,,
100858,"Surge Protector, Transtector, 1101-680","Surge Protector, Transtector, 1101-680",INVENTORY,N,ACTIVE,o,,,,,,,
100859,"Plug, Cooper Power, DIP635A","Plug, Cooper Power, DIP635A",INVENTORY,N,ACTIVE,o,,,,,,,
100860,"Lug, BURNDY, YA45A5","Lug, BURNDY, YA45A5",INVENTORY,N,ACTIVE,o,,,,,,,
100866,"Power Supply, PE, L4391","Power Supply, PE, L4391",INVENTORY,N,ACTIVE,o,,,,,,,
100867,"Power Supply, , DR-30-12","Power Supply, , DR-30-12",INVENTORY,N,ACTIVE,o,,,,,,,
100869,"Anemometer, Lufft, 8371-UMT","Anemometer, Lufft, 8371-UMT",INVENTORY,N,ACTIVE,o,,,,,,,
100870,"PCBA Board, , 91-00316-04","PCBA Board, , 91-00316-04",INVENTORY,N,ACTIVE,o,,,,,,,
100871,"Boot Clamp, NEXTracker,","Boot Clamp, NEXTracker,",INVENTORY,N,ACTIVE,o,,,,,,,
100872,"Boot Actuator, , 5A800-017601","Boot Actuator, , 5A800-017601",INVENTORY,N,ACTIVE,o,,,,,,,
100873,"Fan, PE, HEC","Fan, PE, HEC",INVENTORY,N,ACTIVE,o,,,,,,,
100882,"Inverter Mount, , 115466-01.01","Inverter Mount, , 115466-01.01",INVENTORY,N,ACTIVE,o,,,,,,,
100883,"Wire, Service Wire, PV10AWG1000/2000VR","Wire, Service Wire, PV10AWG1000/2000VR",INVENTORY,N,ACTIVE,o,,,,,,,
100884,"Wire, Service Wire, PV10AWG1000/2000VB","Wire, Service Wire, PV10AWG1000/2000VB",INVENTORY,N,ACTIVE,o,,,,,,,
100892,"Contactor, PE, EVHB500A-AS/G","Contactor, PE, EVHB500A-AS/G",INVENTORY,N,ACTIVE,o,,,,,,,
100893,"Inverter, SMA, STT-BFS125US-02-SP","Inverter, SMA, STT-BFS125US-02-SP",INVENTORY,N,ACTIVE,o,,,,,,,
100904,"Wire, SHOALS, BLA.IABY.24A","Wire, SHOALS, BLA.IABY.24A",INVENTORY,N,ACTIVE,d,,,,,,,
100905,"Wire, SHOALS, BLA.IABY.21A","Wire, SHOALS, BLA.IABY.21A",INVENTORY,N,ACTIVE,d,,,,,,,
100907,"Wire, Spool, 100% TRXLPE CN 27X1","Wire, Spool, 100% TRXLPE CN 27X1",INVENTORY,N,ACTIVE,o,,,,,,,
100908,"Hardware, NEXTRACKER, Damper","Hardware, NEXTRACKER, Damper",INVENTORY,N,ACTIVE,o,,,,,,,
100909,"Damper, , 608772","Damper, , 608772",INVENTORY,N,ACTIVE,o,,,,,,,
100910,"Anntenna, INFINEX, 812X11321","Anntenna, INFINEX, 812X11321",INVENTORY,N,ACTIVE,o,,,,,,,
100911,"Meter, SCHWEITZER, SEL-735","Meter, SCHWEITZER, SEL-735",INVENTORY,N,ACTIVE,o,,,,,,,
100913,"LBD, SHOALS, STG.DCD.01.C400BNDD.DSA","LBD, SHOALS, STG.DCD.01.C400BNDD.DSA",INVENTORY,N,ACTIVE,d,,,,,,,
100914,"WS Mount, NEXTRACKER, Weather Station","WS Mount, NEXTRACKER, Weather Station",INVENTORY,N,ACTIVE,o,,,,,,,
100917,"SPC, NEXTRACKER, SPC150-B","SPC, NEXTRACKER, SPC150-B",INVENTORY,N,ACTIVE,o,,,,,,,
100919,"SPC Mount, NEXTRACKER, 30516","SPC Mount, NEXTRACKER, 30516",INVENTORY,N,ACTIVE,o,,,,,,,
100920,"Anemometer, NEXTRACKER, GILL","Anemometer, NEXTRACKER, GILL",INVENTORY,N,ACTIVE,o,,,,,,,
100921,"Open Release Shunt Coil, SMA, 60-20100","Open Release Shunt Coil, SMA, 60-20100",INVENTORY,N,ACTIVE,o,,,,,,,
100922,"Undervoltage Release Shunt Coil, SMA, 24VAC","Undervoltage Release Shunt Coil, SMA, 24VAC",INVENTORY,N,ACTIVE,o,,,,,,,
100923,"Closing Release Shunt Coil, SMA, KT7MXC4","Closing Release Shunt Coil, SMA, KT7MXC4",INVENTORY,N,ACTIVE,o,,,,,,,
100925,"CT, , 2502288","CT, , 2502288",INVENTORY,N,ACTIVE,o,,,,,,,
100926,"CT, SMA, 2502106","CT, SMA, 2502106",INVENTORY,N,ACTIVE,o,,,,,,,
100927,"CT, SMA, 2502040","CT, SMA, 2502040",INVENTORY,N,ACTIVE,o,,,,,,,
100928,"Contact, AUX Changeover, SMA, 24V DC","Contact, AUX Changeover, SMA, 24V DC",INVENTORY,N,ACTIVE,o,,,,,,,
100930,"Resistor, SMA, 118786-00.01","Resistor, SMA, 118786-00.01",INVENTORY,N,ACTIVE,o,,,,,,,
100931,"Transformer Monitor, SMA, 112200-00.01","Transformer Monitor, SMA, 112200-00.01",INVENTORY,N,ACTIVE,o,,,,,,,
100932,"Surge Arrestor, Strikesorb, SMA, 10-30027","Surge Arrestor, Strikesorb, SMA, 10-30027",INVENTORY,N,ACTIVE,o,,,,,,,
100934,"DC Monitor Board, SMA, SC30DCM.GR.4, 6UP-450-007-001","DC Monitor Board, SMA, SC30DCM.GR.4, 6UP-450-007-001",INVENTORY,N,ACTIVE,o,,,,,,,
100935,"RTAC, Schweitzer, SEL-3530-4","RTAC, Schweitzer, SEL-3530-4",INVENTORY,N,ACTIVE,d,,,,,,,
100936,"Fan, SMA, K3G280-RR03-H7","Fan, SMA, K3G280-RR03-H7",INVENTORY,N,ACTIVE,o,,,,,,,
100938,"UPS LED, APC, SMX2000RMLV2UNC","UPS LED, APC, SMX2000RMLV2UNC",INVENTORY,N,ACTIVE,o,,,,,,,
100939,"Fiber, Enclosure, Patch Panel, RTS2U-6APB","Fiber, Enclosure, Patch Panel, RTS2U-6APB",INVENTORY,N,ACTIVE,d,,,,,,,
100940,"Switch, , PT-G7728","Switch, , PT-G7728",INVENTORY,N,ACTIVE,o,,,,,,,
100941,"Transeiver, , SEL-2890MOX","Transeiver, , SEL-2890MOX",INVENTORY,N,ACTIVE,o,,,,,,,
100942,"Meter Board, SEL, 9754008","Meter Board, SEL, 9754008",INVENTORY,N,ACTIVE,o,,,,,,,
100943,"Controller, RedLion, GRAC0001","Controller, RedLion, GRAC0001",INVENTORY,N,ACTIVE,o,,,,,,,
100945,"Power Supply, PHOENIX CONTACT, 2907160","Power Supply, PHOENIX CONTACT, 2907160",INVENTORY,N,ACTIVE,o,,,,,,,
100946,"Switch, MOXA, EDS-205A-T","Switch, MOXA, EDS-205A-T",INVENTORY,N,ACTIVE,o,,,,,,,
100947,"Lug, Burndy, 534592","Lug, Burndy, 534592",INVENTORY,N,ACTIVE,o,,,,,,,
100948,"Media Converter, REDLION, DA30D","Media Converter, REDLION, DA30D",INVENTORY,N,ACTIVE,o,,,,,,,
100949,"Splitter, COMMFRONT, HUB-485-4","Splitter, COMMFRONT, HUB-485-4",INVENTORY,N,ACTIVE,o,,,,,,,
100950,"Adapter Plate, , 6112SMDSC","Adapter Plate, , 6112SMDSC",INVENTORY,N,ACTIVE,o,,,,,,,
100954,"Breaker, Eaton, FAZ-C5/1-NA-SP","Breaker, Eaton, FAZ-C5/1-NA-SP",INVENTORY,N,ACTIVE,o,,,,,,,
100955,"Surge Protector, L-COM, AL-D15P24DW","Surge Protector, L-COM, AL-D15P24DW",INVENTORY,N,ACTIVE,o,,,,,,,
100956,"Ground Kit, , K676GADDRK","Ground Kit, , K676GADDRK",INVENTORY,N,ACTIVE,d,,,,,,,
100957,"IGBT, SMA, SC-ST1512.2D-S","IGBT, SMA, SC-ST1512.2D-S",INVENTORY,N,ACTIVE,o,,,,,,,
100960,"Pump, , Glycol","Pump, , Glycol",INVENTORY,N,ACTIVE,d,,,,,,,
100961,"Module Mount, , HZL1 EXP","Module Mount, , HZL1 EXP",INVENTORY,N,ACTIVE,o,,,,,,,
100971,"Racking, , HZL1 EXP, Frame","Racking, , HZL1 EXP, Frame",INVENTORY,N,ACTIVE,o,,,,,,,
100972,"Table Mount, , HZL1 EXP, Long Support","Table Mount, , HZL1 EXP, Long Support",INVENTORY,N,ACTIVE,d,,,,,,,
100973,"Table Mount, , HZL1 EXP, Short Support","Table Mount, , HZL1 EXP, Short Support",INVENTORY,N,ACTIVE,d,,,,,,,
100974,"Table Mount, , HZL1 EXP, Table Short","Table Mount, , HZL1 EXP, Table Short",INVENTORY,N,ACTIVE,d,,,,,,,
100975,"Table Mount, , HZL1 EXP, Table Long","Table Mount, , HZL1 EXP, Table Long",INVENTORY,N,ACTIVE,d,,,,,,,
100976,"Racking, , HZL1 EXP, Table Runner","Racking, , HZL1 EXP, Table Runner",INVENTORY,N,ACTIVE,d,,,,,,,
100977,"Pile, , HZL1 EXP, Pile","Pile, , HZL1 EXP, Pile",INVENTORY,N,ACTIVE,d,,,,,,,
100978,"Wire, APAR Industries, E517061","Wire, APAR Industries, E517061",INVENTORY,N,ACTIVE,d,,,,,,,
100979,"Wire, , HZL1 EXP, 500mcm","Wire, , HZL1 EXP, 500mcm",INVENTORY,N,ACTIVE,d,,,,,,,
100983,"LCD Display, ABB, 80020236","LCD Display, ABB, 80020236",INVENTORY,N,ACTIVE,o,,,,,,,
100985,"Power Module, FIMER, VRA.V0A31.3","Power Module, FIMER, VRA.V0A31.3",INVENTORY,N,ACTIVE,o,,,,,,,
100991,"Coolant, , SAFE_T_THERM AL 50%","Coolant, , SAFE_T_THERM AL 50%",INVENTORY,N,ACTIVE,o,,,,,,,
100992,"Surge Protector, SAFETEC, SPD TYPE 2","Surge Protector, SAFETEC, SPD TYPE 2",INVENTORY,N,ACTIVE,o,,,,,,,
100993,"DSP, , YVD.V0AAD.0","DSP, , YVD.V0AAD.0",INVENTORY,N,ACTIVE,o,,,,,,,
100995,"AC Gathering Board, ABB, VRA.V0A10.3","AC Gathering Board, ABB, VRA.V0A10.3",INVENTORY,N,ACTIVE,o,,,,,,,
100998,"CT, , ZFS.00011","CT, , ZFS.00011",INVENTORY,N,ACTIVE,o,,,,,,,
100999,"Wire, , ZLH.P0071.2","Wire, , ZLH.P0071.2",INVENTORY,N,ACTIVE,o,,,,,,,
101000,"Wire, , ZLH.V0AB7.0","Wire, , ZLH.V0AB7.0",INVENTORY,N,ACTIVE,o,,,,,,,
101004,"Modbus, Advantech, EKI-1221-CE","Modbus, Advantech, EKI-1221-CE",INVENTORY,N,ACTIVE,o,,,,,,,
101005,"UPS, APC, SMX750","UPS, APC, SMX750",INVENTORY,N,ACTIVE,o,,,,,,,
101006,"Fan, , A4D450-AO10-04","Fan, , A4D450-AO10-04",INVENTORY,N,ACTIVE,o,,,,,,,
101010,"Chiller Board, , YTA.V1J03.1","Chiller Board, , YTA.V1J03.1",INVENTORY,N,ACTIVE,o,,,,,,,
101017,"Distrabution Block, Marathon, CAT1412400","Distrabution Block, Marathon, CAT1412400",INVENTORY,N,ACTIVE,o,,,,,,,
101019,"Switch, ABB, ZEC.00058","Switch, ABB, ZEC.00058",INVENTORY,N,ACTIVE,o,,,,,,,
101020,"I/O Module, , EZIOP-8ANIC","I/O Module, , EZIOP-8ANIC",INVENTORY,N,ACTIVE,o,,,,,,,
101021,"I/O Device, , EZIOP-4DCI4DCOP","I/O Device, , EZIOP-4DCI4DCOP",INVENTORY,N,ACTIVE,o,,,,,,,
101022,"I/O Device, , EZIO-8ANIV","I/O Device, , EZIO-8ANIV",INVENTORY,N,ACTIVE,o,,,,,,,
101023,"Filter, Schurter, 5500.2055","Filter, Schurter, 5500.2055",INVENTORY,N,ACTIVE,o,,,,,,,
101025,"Breake Board, , YVD.P0086.2R","Breake Board, , YVD.P0086.2R",INVENTORY,N,ACTIVE,o,,,,,,,
101026,"Contactor, ABB, ZEQ.00020","Contactor, ABB, ZEQ.00020",INVENTORY,N,ACTIVE,o,,,,,,,
101027,"Wire, Superior Essex T, 2x22 AWG","Wire, Superior Essex T, 2x22 AWG",INVENTORY,N,ACTIVE,o,,,,,,,
101028,"Lug, H-J International , 3077","Lug, H-J International , 3077",INVENTORY,N,ACTIVE,o,,,,,,,
101031,"Cap, , 273DRG(3)","Cap, , 273DRG(3)",INVENTORY,N,ACTIVE,o,,,,,,,
101032,"Ground Kit, , 776ADDRK","Ground Kit, , 776ADDRK",INVENTORY,N,ACTIVE,o,,,,,,,
101033,"Surge Arrestor, Elastimold, 273ESA-18","Surge Arrestor, Elastimold, 273ESA-18",INVENTORY,N,ACTIVE,o,,,,,,,
101036,"Capacitor, ABB, Electronic","Capacitor, ABB, Electronic",INVENTORY,N,ACTIVE,o,,,,,,,
101037,"Transformer, Ermco, 103-X0511-14NB","Transformer, Ermco, 103-X0511-14NB",INVENTORY,N,ACTIVE,o,,,,,,,
101038,"Breaker, ABB, ZED.00127","Breaker, ABB, ZED.00127",INVENTORY,N,ACTIVE,o,,,,,,,
101039,"Bussbar, , XBB.00243","Bussbar, , XBB.00243",INVENTORY,N,ACTIVE,o,,,,,,,
101043,"Capacitor, ABB, YVD.P0069.1","Capacitor, ABB, YVD.P0069.1",INVENTORY,N,ACTIVE,o,,,,,,,
101044,"Auxiliary transformer , SMA, 120769-00.02","Auxiliary transformer , SMA, 120769-00.02",INVENTORY,N,ACTIVE,o,,,,,,,
101045,"Capacitor, Sine Filter, SMA, 6UP-200-001-001","Capacitor, Sine Filter, SMA, 6UP-200-001-001",INVENTORY,N,ACTIVE,o,,,,,,,
101046,"Breaker, ABB, SACE4.2H-A/E","Breaker, ABB, SACE4.2H-A/E<!-- RICH TEXT -->",INVENTORY,N,ACTIVE,o,,,,,,,
101048,"Oil gauge , IDEF SYSTEMS , VMP2744","Oil gauge , IDEF SYSTEMS , VMP2744",INVENTORY,N,ACTIVE,o,,,,,,,
101049,"Oil temperature probe, Jumo, 902020/10","Oil temperature probe, Jumo, 902020/10",INVENTORY,N,ACTIVE,o,,,,,,,
101050,"Gauge, Pressure, H-J International , 124652-H1.01","Gauge, Pressure, H-J International , 124652-H1.01",INVENTORY,N,ACTIVE,o,,,,,,,
101051,"Valve, Relief, Qualitrol, 208-60E","Valve, Relief, Qualitrol, 208-60E",INVENTORY,N,ACTIVE,o,,,,,,,
101052,"Contactor, DC, YM Tech, EVHB500A-AS","Contactor, DC, YM Tech, EVHB500A-AS",INVENTORY,N,ACTIVE,o,,,,,,,
101053,"Indicator, Faulted Circuit, Eaton, STHI","Indicator, Faulted Circuit, Eaton, STHI",INVENTORY,N,ACTIVE,o,,,,,,,
101054,"Breaker Motor, ABB, Inverter-Central Inverter, 220-250 V, 220-250 V, 1SDA073732R1","Breaker Motor, ABB, 1SDA073732R1<!-- RICH TEXT -->",INVENTORY,N,ACTIVE,o,,,,,,,
101055,"Breaker Motor, ABB, Inverter-Central Inverter, 220-250 V, 220-250 V, 1SDA062116R1","Breaker Motor, ABB, 1SDA062116R1<!-- RICH TEXT -->",INVENTORY,N,ACTIVE,o,,,,,,,
101056,"Contact, Changeover, ABB, 1SDA062101R1","Contact, Changeover, ABB, 1SDA062101R1",INVENTORY,N,ACTIVE,o,,,,,,,
101057,"Board. DST Driver Assembly, SMA, 6UP-778-003-001","Board. DST Driver Assembly, SMA, 6UP-778-003-001",INVENTORY,N,ACTIVE,o,,,,,,,
101062,"Power Supply, Extension Module, S CEM, CEM 8/C-TEC 27-38P","Power Supply, Extension Module, S CEM, CEM 8/C-TEC 27-38P",INVENTORY,N,ACTIVE,o,,,,,,,
101063,"SPC, NEXTRACKER, DC.BOS-Tracker System, 30 Vdc, 80 W, SPC150B","SPC, Nextracker, SPC150B<!-- RICH TEXT -->",INVENTORY,N,ACTIVE,o,,,,,,,
101064,"Cable, JCN, LS Cable, -","Cable, JCN, LS Cable, -",INVENTORY,N,ACTIVE,o,,,,,,,
101065,"Cable, Wire, LS Cable, -","Cable, Wire, LS Cable, -",INVENTORY,N,ACTIVE,o,,,,,,,
101066,"Shunt Closing Release Coil, ABB, Inverter-Central Inverter, 220-240 V, 1SDA073687R1","Shunt Closing Release Coil, ABB, 1SDA073687R1<!-- RICH TEXT -->",INVENTORY,N,ACTIVE,o,,,,,,,
101070,"Controller Communication Board, SMA, Inverter-Central Inverter, 6UP-450-004-002","Controller Communication Board, SMA, 6UP-450-004-002<!-- RICH TEXT -->",INVENTORY,N,ACTIVE,o,,,,,,,
101071,"Undervoltage Release Coil, ABB, Inverter-Central Inverter, 24 Vdc, 1SDA073687R1","Undervoltage Release Coil, ABB, 1SDA073687R1<!-- RICH TEXT -->",INVENTORY,N,ACTIVE,o,,,,,,,
101072,"Coil, Breaker, Undervoltage Release, ABB, 1SDA073694R1","Coil, Breaker, Undervoltage Release, ABB, 1SDA073694R1",INVENTORY,N,ACTIVE,o,,,,,,,
101073,"Coil, Closing Release, ABB, 1SDA063550R1","Coil, Closing Release, ABB, 1SDA063550R1",INVENTORY,N,ACTIVE,o,,,,,,,
101075,"Coil, Shunt Opening Release, ABB, 1SDA063548R1","Coil, Shunt Opening Release, ABB, 1SDA063548R1",INVENTORY,N,ACTIVE,o,,,,,,,
101076,"IGBT Stack, SMA, 6UP-778-002-002","IGBT Stack, SMA, 6UP-778-002-002",INVENTORY,N,ACTIVE,o,,,,,,,
101078,"Pyranometer cable , EKO, EKO MS-802","Pyranometer cable , EKO, EKO MS-802",INVENTORY,N,ACTIVE,o,,,,,,,
101079,"T-body connector , EATON, DT635T","T-body connector , EATON, DT635T",INVENTORY,N,ACTIVE,o,,,,,,,
101080,"Splice kit , 3M, 5467A(S)-9SB-AL-WF","Splice kit , 3M, 5467A(S)-9SB-AL-WF",INVENTORY,N,ACTIVE,o,,,,,,,
101081,"Splice kit , 3M, 5467A-12SB-AL-WF","Splice kit , 3M, 5467A-12SB-AL-WF",INVENTORY,N,ACTIVE,o,,,,,,,
101082,"Spice kit , 3M, 5468A-15SB-AL-WF","Spice kit , 3M, 5468A-15SB-AL-WF",INVENTORY,N,ACTIVE,o,,,,,,,
101083,"BOM Temperature Sensor, INGENIEURBURO, MET-Sensors, 24 Vdc, 90 C, -40 C, TM-RS485-MB","BOM Temperature Sensor, Ingenieurburo, TM-RS485-MB<!-- RICH TEXT -->",INVENTORY,N,ACTIVE,o,,,,,,,
101084,"Splice kit , 3M, 5468A-18SB-AL-WF","Splice kit , 3M, 5468A-18SB-AL-WF",INVENTORY,N,ACTIVE,o,,,,,,,
101088,"Disconnect switch , ABB, OTDC400UFV11-SH","Disconnect switch , ABB, OTDC400UFV11-SH",INVENTORY,N,ACTIVE,o,,,,,,,
